Symbol,Name,IPOyear,MarketCap,Negotiable Cap.,Industry
2552,BDHI,2011/2/25,300000000,200148944,C Manufacturing
2553,NANFANG BEARING,2011/2/25,348000000,220142902,C Manufacturing
2554,HBP,2011/2/25,535625000,280874903,B Mining
2555,SHUNRONG SANQI,2011/3/2,877108143,158769975,C Manufacturing
2556,HUILONG AGRI,2011/3/2,478400000,463922525,F Wholesale & Retail
2557,QIAQIA FOOD,2011/3/2,507000000,507000000,C Manufacturing
2558,CENTURY CRUISE,2011/3/2,65450000,32461550,N Environmental Protection
2559,YAWEI,2011/3/3,366138696,306145821,C Manufacturing
2560,TONG-DA CABLE,2011/3/3,142727117,88426037,C Manufacturing
2561,XUJIAHUI COMMERCIAL,2011/3/3,415763000,396350821,F Wholesale & Retail
2562,BROTHER,2011/3/10,270271942,108534750,C Manufacturing
2563,SEMIR,2011/3/11,2694540400,1833668088,C Manufacturing
2564,THVOW,2011/3/10,739712000,505124201,C Manufacturing
2565,SHANGHAI LUXIN,2011/3/18,696680000,686011500,C Manufacturing
2566,YSYY,2011/3/18,330951600,206016292,C Manufacturing
2567,TRS,2011/3/25,493195485,419856000,C Manufacturing
2568,BRGF,2011/3/25,896000000,297589501,C Manufacturing
2569,BUSEN CORP.,2011/4/12,140010000,138020663,C Manufacturing
2570,BEINGMATE,2011/4/12,1022520000,1020584255,C Manufacturing
2571,DELI CO. LTD.,2011/4/12,391950700,247275700,C Manufacturing
2572,SFY,2011/4/12,440978000,284691750,C Manufacturing
2573,SPC,2011/4/22,1065600000,1064682601,N Environmental Protection
2574,MING JEWELRY,2011/4/22,528000000,528000000,C Manufacturing
2575,QUNXING TOYS,2011/4/22,588720000,588720000,C Manufacturing
2576,TONGDA POWER,2011/4/28,165100000,118892326,C Manufacturing
2577,RAPOO TECHNOLOGY,2011/4/28,283977000,281252490,C Manufacturing
2578,MINFA ALUMINIUM,2011/4/28,429500000,274306250,C Manufacturing
2579,CEET,2011/5/6,350460000,350459000,C Manufacturing
2580,SACRED SUN,2011/5/6,223275847,149161528,C Manufacturing
2581,SINOBIOWAY MEDICINE,2011/5/20,659735586,165026375,C Manufacturing
2582,HAOXIANGNI,2011/5/20,147600000,93935024,C Manufacturing
2583,HYTERA,2011/5/27,1537731850,840187131,C Manufacturing
2584,XILONG SCIENTIFIC,2011/6/2,234086569,103775077,C Manufacturing
2585,SXXC,2011/6/2,717327642,538604135,C Manufacturing
2586,RECLAIM CONSTRUCTION,2011/6/2,728126600,692565805,E Construction
2587,AOTO ELECTRONICS,2011/6/10,373450947,240280253,C Manufacturing
2588,STANLEY,2011/6/10,583560000,352680535,C Manufacturing
2589,REALCAN,2011/6/10,554543488,300220574,F Wholesale & Retail
2590,VIE,2011/6/10,412562800,361653890,C Manufacturing
2591,HENGDA,2011/6/21,260507000,167470817,C Manufacturing
2592,BL,2011/11/11,283331157,128949674,C Manufacturing
2593,SUNRISE GROUP,2011/6/28,233100000,130935445,C Manufacturing
2594,BYD,2011/6/30,1561000000,799742814,C Manufacturing
2595,HIMILE,2011/6/28,800000000,492741810,C Manufacturing
2596,HAINAN RUIZE,2011/7/7,324458886,160936500,C Manufacturing
2597,JHSY,2011/7/7,568254000,554897105,C Manufacturing
2598,SDZG,2011/7/7,312000000,270752513,C Manufacturing
2599,SHENGTONG,2011/7/15,135000000,91134375,C Manufacturing
2600,JPMF,2011/7/15,879989668,420006776,C Manufacturing
2601,BLL,2011/7/15,204424200,164779086,C Manufacturing
2602,CENTURY HUATONG,2011/7/28,1027092040,565918054,C Manufacturing
2603,YILING,2011/7/28,1127648400,891800471,C Manufacturing
2604,LONGLIVE BIO,2011/7/28,504025600,431829698,C Manufacturing
2605,YAOJI PLAYING CARD,2011/8/5,374000000,268593404,C Manufacturing
2606,DALIAN INSULATOR,2011/8/5,204000000,155611742,C Manufacturing
2607,YAXIA AUTO,2011/8/10,356928000,255251604,F Wholesale & Retail
2608,SAINTY MARINE,2011/8/10,374850000,323710538,C Manufacturing
2609,JSST,2011/8/15,601041622,295738404,I IT
2610,AKCOME,2011/8/15,725000000,702170000,C Manufacturing
2611,DFJG,2011/8/30,580592000,317035543,C Manufacturing
2612,LANCY,2011/8/30,200000000,111459013,C Manufacturing
2613,BEIBO CORP.,2011/8/30,720900000,365772140,C Manufacturing
2614,EASEPAL,2011/9/9,554775000,278324446,C Manufacturing
2615,HAERS,2011/9/9,182400000,102741278,C Manufacturing
2616,CHANT GROUP,2011/9/20,359333322,169929450,C Manufacturing
2617,ROSHOW,2011/9/20,360000000,329665170,C Manufacturing
2618,DANBOND,2011/9/20,182640000,182636400,C Manufacturing
2619,JLGY,2011/9/29,320008431,98908796,C Manufacturing
2620,RUIHE DECORATION,2011/9/29,120000000,93751867,E Construction
2621,SUNLIGHT CO. LTD,2011/9/29,225000000,56250000,C Manufacturing
2622,YDJT,2011/10/18,420000000,340292555,C Manufacturing
2623,AMD,2011/10/13,160000000,159431500,C Manufacturing
2624,PWPIC,2011/10/28,487706996,277821014,R Media
2625,LONGSHENG,2011/11/3,300754194,212578759,C Manufacturing
2626,KINGDOMWAY,2011/10/28,576000000,575902500,C Manufacturing
2627,YCJY,2011/11/3,133500000,131365294,G Transportation
2628,CDLQ,2011/11/3,737416215,680531143,E Construction
2629,RZYF,2011/11/3,411948000,358466306,B Mining
2630,CWPC,2011/11/11,738000000,613659825,C Manufacturing
2631,DER,2011/11/11,649374000,505035460,C Manufacturing
2632,DAOMING,2011/11/22,295860516,261605426,C Manufacturing
2633,SHENKE CORPORATION,2011/11/22,150000000,87018750,C Manufacturing
2634,BANGJIE SHARE,2011/12/5,128056271,70800716,C Manufacturing
2635,ANJIE,2011/11/25,388853146,183759820,C Manufacturing
2636,GDM,2011/11/25,728000000,246402552,C Manufacturing
2637,ZANYU,2011/11/25,160000000,114200146,C Manufacturing
2638,KINGSUN OPTO,2011/11/25,374670000,369859000,C Manufacturing
2639,SNOWMAN,2011/12/5,600000000,375073500,C Manufacturing
2640,GLOBAL TOP,2011/12/8,644404605,366724308,F Wholesale & Retail
2641,YONGGAO,2011/12/8,864000000,681026955,C Manufacturing
2642,RZL,2011/12/20,424160402,228284140,I IT
2643,VALIANT,2011/12/20,339871250,268258815,C Manufacturing
2644,FCZY,2011/12/22,510657000,444290000,C Manufacturing
2645,HUAHONG,2011/12/20,209445019,143722800,C Manufacturing
2646,QQKJ,2011/12/22,450000000,450000000,C Manufacturing
2647,HONGLEI,2011/12/28,219583000,123024720,C Manufacturing
2648,SATLPEC,2011/12/28,800000000,800000000,C Manufacturing
2649,BYKJ,2012/1/6,167630000,132029549,I IT
2650,JIAJIA FOOD,2012/1/6,1152000000,1127329260,C Manufacturing
2651,LEEJUN,2012/1/6,1002500000,378431061,C Manufacturing
2652,YZNM,2012/1/19,320040000,260149126,C Manufacturing
2653,HAISCO PHARMA,2012/1/17,1080270000,420351528,C Manufacturing
2654,MASON,2012/2/17,242060000,123479075,C Manufacturing
2655,GETTOP,2012/2/17,360000000,360000000,C Manufacturing
2656,CANUDILO,2012/2/28,200000000,160062500,C Manufacturing
2657,SINODATA,2012/2/28,316979102,192633328,I IT
2658,SDL TECH,2012/3/9,604880320,304418455,C Manufacturing
2659,ZHONGTAI BRIDGE,2012/3/9,311000000,310999000,E Construction
2660,MSDY,2012/3/16,277341300,189353590,C Manufacturing
2661,KEMEN,2012/3/16,85525300,81994868,C Manufacturing
2662,JWGF,2012/3/9,750000000,576430000,C Manufacturing
2663,PB LANDSCAPE,2012/3/16,1704877887,1031738983,E Construction
2664,XIN ZHI MOTOR,2012/3/16,400020000,369442095,C Manufacturing
2665,SH RESOURCES SAVING,2012/3/27,730048106,570572031,C Manufacturing
2666,DELIAN,2012/3/27,754329268,227442271,C Manufacturing
2667,ANSHAN HEAVY DUTY,2012/3/29,135960000,91492500,C Manufacturing
2668,HOMA,2012/4/16,165350000,121969260,C Manufacturing
2669,KANGDA NEW MATERIALS,2012/4/16,200000000,150842601,C Manufacturing
2670,WASUNG,2012/4/16,200000000,128832531,C Manufacturing
2671,LQGF,2012/4/26,443695798,316559646,C Manufacturing
2672,DJE,2012/4/26,669244602,429270744,N Environmental Protection
2673,WESTERN SECURITIES,2012/5/3,2795569620,2300000000,J Finance
2674,XINGYE TECH.,2012/5/7,242478000,240572000,C Manufacturing
2675,DONGCHENG BIOCHEM,2012/5/25,220606662,121957725,C Manufacturing
2676,SUNWILL,2012/5/25,160000000,158428763,C Manufacturing
2677,ZHEJIANG MEIDA,2012/5/25,400000000,377500000,C Manufacturing
2678,PEARL RIVER PIANO,2012/5/30,956000000,953362080,C Manufacturing
2679,FUJIAN JINSEN,2012/6/5,138680000,138680000,A Agriculture
2680,HUANGHAI MACHINERY,2012/6/5,437875421,62985000,C Manufacturing
2681,FENDA,2012/6/5,617617800,213419508,C Manufacturing
2682,LONGZHOU,2012/6/12,268593228,261794375,G Transportation
2683,HONGDA BLASTING,2012/6/12,609899995,473630282,B Mining
2684,MSKJ,2012/6/12,277534400,208534400,C Manufacturing
2685,HDHM,2012/6/12,560000000,560000000,C Manufacturing
2686,YILIDA,2012/7/3,412005000,279943850,C Manufacturing
2687,GIUSEPPE,2012/7/13,354852000,318252562,C Manufacturing
2688,JINHE,2012/7/13,217840000,210990482,C Manufacturing
2689,BRILLIANT,2012/7/17,962354536,937805797,C Manufacturing
2690,MYGD,2012/7/31,676000000,326545114,C Manufacturing
2691,JIKAI,2012/7/31,200000000,198765961,C Manufacturing
2692,YCCABLE,2012/8/8,326430000,201797501,C Manufacturing
2693,SC PHARMACEUTICALS,2012/8/8,419185500,403416821,C Manufacturing
2694,GOODY,2012/8/16,345600000,303974250,C Manufacturing
2695,HUANGSHANGHUANG,2012/9/5,126658422,113355282,C Manufacturing
2696,BAIYANG,2012/9/5,176000000,103769754,A Agriculture
2697,HONGQI,2012/9/5,1360000000,731406130,F Wholesale & Retail
2698,BOSHI,2012/9/11,681700000,520583766,C Manufacturing
2699,MEISHENG CULTURE,2012/9/11,446000000,377632178,R Media
2700,XINJIANG HAOYUAN,2012/9/21,422426880,313093380,D Utilities
2701,ORG PACKAGING,2012/10/11,981344000,634274000,C Manufacturing
2702,HAIXIN FOODS,2012/10/11,282800000,122800000,C Manufacturing
2703,ZHEJIANG SHIBAO,2012/11/2,229143855,97185963,C Manufacturing
2705,XBGF,2014/1/21,442001200,109378346,C Manufacturing
2706,LXDQ,2014/1/21,115258000,35935640,C Manufacturing
2707,ZXLY,2014/1/23,417534990,166288182,L Business Support
2708,NRB CORPORATION,2014/1/21,408993200,134015239,C Manufacturing
2709,TINCI,2014/1/23,130005842,57257587,C Manufacturing
2711,EINC,2014/1/27,330022000,110456225,G Transportation
2712,SIMEI MEDIA,2014/1/23,88289509,29052286,L Business Support
2713,DYRS,2014/2/19,249680952,62413238,E Construction
2714,MUYUAN,2014/1/28,516873109,143251422,A Agriculture
2715,DENGYUN,2014/2/19,92000000,52365025,C Manufacturing
2716,JINGUI SILVER,2014/1/28,503290616,289589948,C Manufacturing
2717,LNYL,2014/2/19,325736000,158489910,E Construction
2718,YOUPON CEILING,2014/1/28,82560000,20960000,C Manufacturing
2719,MAIQUER,2014/1/28,108722161,33801466,C Manufacturing
2721,KINGEE CULTURE,2014/1/27,648036000,227139866,C Manufacturing
2722,JLGF,2014/1/28,159269037,45741650,C Manufacturing
2723,KENNEDE,2014/1/29,186700000,55657465,C Manufacturing
2724,"OCEAN""S KING",2014/11/4,400000000,61119000,C Manufacturing
2725,YUELING,2014/1/29,160000000,52960000,C Manufacturing
2726,LONGDA,2014/6/26,436480000,108824650,C Manufacturing
2727,YIXINTANG,2014/7/2,260300000,95962649,F Wholesale & Retail
2728,TAICHENG PHAR.,2014/7/31,200000000,56710000,C Manufacturing
2729,HOLLYLAND,2014/9/12,66680000,17680000,C Manufacturing
2730,DIANGUANG TECH.,2014/10/9,146670000,46670000,C Manufacturing
2731,CUIHUA JEWELRY,2014/11/4,150680000,53420000,C Manufacturing
2732,YANTANG DAIRY,2014/12/5,157350000,60774255,C Manufacturing
2733,VISION GROUP,2014/12/3,306000000,132212781,C Manufacturing
2734,LMGF,2015/1/27,130000000,32500000,C Manufacturing
2735,WZXC,2014/12/3,80000000,22235000,C Manufacturing
2736,GUOSEN SECURITIES,2014/12/29,8200000000,2195059620,J Finance
2737,SFPM,2014/12/30,292000000,120123726,C Manufacturing
2738,SINOMINE,2014/12/30,124610000,57532000,M Research & Development
2739,WANDA CINEMA LINE,2015/1/22,1174294974,120000000,R Media
2740,IDEAL,2015/1/22,100000000,24988900,C Manufacturing
2741,GHKJ,2015/2/16,360000000,90000000,C Manufacturing
2742,SANSHENG MATERIALS,2015/2/17,144000000,35137780,C Manufacturing
2743,FUHUANG,2015/2/17,121340000,30340000,C Manufacturing
2745,MLS,2015/2/17,444500000,44500000,C Manufacturing
2746,XTGF,2015/2/16,159350000,39676200,A Agriculture
2747,ESTUN AUTOMATION,2015/3/20,121466000,30000000,C Manufacturing
2748,SLSY,2015/3/19,120000000,30000000,C Manufacturing
2749,GGAC,2015/3/20,75000000,14891300,C Manufacturing
2750,LONGJIN,2015/3/24,200250000,50250000,C Manufacturing
2751,ESUN,2015/4/24,140480000,35120000,C Manufacturing
2752,SHENGXING,2015/4/22,420000000,60000000,C Manufacturing
2753,YONGDONG,2015/5/19,98700000,24700000,C Manufacturing
2755,BNEC,2015/5/15,101340000,25340000,E Construction
2756,YONGXINGSPECIALSTEEL,2015/5/15,200000000,50000000,C Manufacturing
2757,NXZB,2015/5/27,109340000,27340000,C Manufacturing
2758,HUATONG PHAR.,2015/5/27,56000000,14000000,F Wholesale & Retail
2759,TONZE,2015/5/28,96000000,24000000,C Manufacturing
2760,CAFX,2015/6/11,88000000,22000000,C Manufacturing
2761,DOHIA,2015/6/10,120000000,30000000,C Manufacturing
2762,JFLB,2015/6/10,119000000,29750000,C Manufacturing
2763,HUIJIE GROUP,2015/6/10,216000000,54000000,C Manufacturing
2765,LANDAI POWERTRAIN,2015/6/12,208000000,52000000,C Manufacturing
2766,SOLING INDUSTRIAL,2015/6/11,183009301,45680000,C Manufacturing
2767,INNOVER TECH.,2015/6/12,100000000,25000000,C Manufacturing
2768,GON,2015/6/30,80000000,20000000,C Manufacturing
2769,PROLTO,2015/6/29,150658958,37000000,L Business Support
2770,KEDI DAIRY,2015/6/30,273400000,68400000,C Manufacturing
2771,ZST,2015/6/29,80646500,20000000,I IT
2772,ZHONGXING BIOTECH,2015/6/26,148927800,37250000,A Agriculture
2773,KHPG,2015/6/26,445600000,45600000,C Manufacturing
2775,WENKE LANDSCAPE,2015/6/29,120000000,30000000,E Construction
2776,BBL,2015/6/26,104880000,26220000,M Research & Development
2777,JIUYUAN YINHAI,2015/12/31,80000000,20000000,I IT
2778,GAOKE PETROCHEMICAL,2016/1/6,89109500,22300000,C Manufacturing
2779,ZJKJ,2015/12/9,88000000,22000000,C Manufacturing
2780,SANFO OUTDOOR,2015/12/9,67000000,17000000,F Wholesale & Retail
2781,QIXIN,2015/12/22,225000000,45000000,E Construction
2782,CLICK,2015/12/22,170400000,42600000,C Manufacturing
2783,KAILONG,2015/12/9,83470000,20870000,C Manufacturing
2785,WANLI STONE,2015/12/23,200000000,50000000,C Manufacturing
2786,BASIS,2015/12/23,127080000,31780000,C Manufacturing
2787,HUAYUAN PACKAGING,2015/12/31,140800000,35200000,C Manufacturing
200011,PRD-B,1992/3/30,67605243,67605243,K Real Estate
200012,CSG-B,1992/2/28,762583992,762583992,C Manufacturing
200016,KONKA GROUP-B,1992/3/27,811351608,811182528,C Manufacturing
200017,CBC-B,1992/3/31,248362982,248362982,C Manufacturing
200018,SINO-B,1992/6/16,69421903,69421903,C Manufacturing
200019,SBSY-B,1992/10/12,31363200,31363200,C Manufacturing
200020,HUAFA-B,1992/4/28,101995836,101995836,C Manufacturing
200022,CHIWAN WHARF-B,1993/5/5,179895430,179870860,G Transportation
200025,TELLUS-B,1993/6/21,26400000,26400000,F Wholesale & Retail
200026,FIYTA-B,1993/6/3,81648000,81648000,F Wholesale & Retail
200028,ACCORD-B,1993/8/9,54885600,54885600,F Wholesale & Retail
200029,SPG-B,1994/1/10,120000000,120000000,K Real Estate
200030,SUNRISE-B,1993/9/29,34156368,34156368,C Manufacturing
200037,NSRD-B,1994/11/28,263854446,263854446,D Utilities
200045,STHC-B,1994/8/15,49500000,49430250,C Manufacturing
200053,CHIWAN BASE -B,1995/7/28,111180000,111137138,G Transportation
200054,JSMC-B,1995/7/25,30000000,30000000,C Manufacturing
200055,FANGDA-B,1995/11/29,335951188,335951188,C Manufacturing
200056,WT-B,1995/10/30,122025830,121617313,K Real Estate
200058,SEGCL-B,1996/7/22,246461318,246461318,L Business Support
200152,SD AIRLINES-B,2000/9/12,140000000,140000000,G Transportation
200160,NANJIANG-B,2000/9/29,461520000,461515575,K Real Estate
200168,RIEYS-B,2000/10/27,154575000,154575000,K Real Estate
200413,DONGXUB,1996/7/8,250000001,250000001,C Manufacturing
200418,LITTLESWAN-B,1996/7/18,191035872,191035872,C Manufacturing
200429,GPED-B,1996/8/15,348750000,348747375,G Transportation
200468,NJ TEL-B,1997/5/22,100000000,100000000,C Manufacturing
200488,SCPH-B,1997/5/26,470923511,470923511,C Manufacturing
200505,HN PEARL RIVER-B,1995/6/29,64975000,64975000,K Real Estate
200512,TKC-B,1993/6/30,185391680,185391680,C Manufacturing
200521,HFML-B,1996/8/28,162864000,162199506,C Manufacturing
200530,DRC-B,1998/3/20,115000000,115000000,C Manufacturing
200539,GED-B,1995/6/28,798408000,798408000,D Utilities
200541,FSL-B,1995/8/8,292792500,284615419,C Manufacturing
200550,JMC-B,1995/9/29,344000000,344000000,C Manufacturing
200553,SANONDA-B,1997/5/15,230000000,230000000,C Manufacturing
200570,CHANGCHAI-B,1996/9/13,150000000,150000000,C Manufacturing
200581,WEIFU HIGH-TECH-B,1995/9/11,172380000,172380000,C Manufacturing
200596,GUJING DISTILLERY-B,1996/6/12,120000000,120000000,C Manufacturing
200613,DADONGHAI-B,1996/10/8,88000000,88000000,H Hotels & Catering
200625,CHANGAN AUTOMOBILE-B,1996/11/8,901986142,901986142,C Manufacturing
200706,WAZHOU ZWZ-B,1997/3/25,158600000,158598875,C Manufacturing
200725,BOE-B,1997/6/10,1202090169,1202090169,C Manufacturing
200726,LTTC-B,1997/8/19,393875096,275560796,C Manufacturing
200761,BSP-B,1997/7/8,400000000,400000000,C Manufacturing
200771,HTC-B,1998/4/28,274185600,274073559,C Manufacturing
200869,CHANGYU-B,1997/9/23,232003200,232003200,C Manufacturing
200986,HUAXIN PACKAGING-B,2000/7/6,171925000,171925000,C Manufacturing
200992,SZOCEANIC-B,2000/7/24,138000000,138000000,A Agriculture
300001,TGOOD ELECTRIC,2009/10/30,1001964856,824380879,C Manufacturing
300002,ULTRAPOWER,2009/10/30,1994782279,1159806725,I IT
300003,LEPU MEDICAL,2009/10/30,812000000,686106725,C Manufacturing
300004,NANFENG CORPORATION,2009/10/30,509218928,315155362,C Manufacturing
300005,TOREAD,2009/10/30,513946942,348476891,C Manufacturing
300006,LUMMY,2009/10/30,201793757,128479945,C Manufacturing
300007,HANWEI ELECTRONICS,2009/10/30,293022806,182163391,C Manufacturing
300008,SHANGHAI BESTWAY,2009/10/30,252891674,180584622,M Research & Development
300009,ANKEBIO,2009/10/30,407863881,245092111,C Manufacturing
300010,LANXUM,2009/10/30,685592493,427116098,I IT
300011,DINGHAN TECH,2009/10/30,527029952,347846856,C Manufacturing
300012,CTI,2009/10/30,383208746,338646831,M Research & Development
300013,XNWL,2009/10/30,297791410,179100000,G Transportation
300014,EVE,2009/10/30,427137811,342000669,C Manufacturing
300015,AIER EYE HOSPITAL,2009/10/30,985914423,782099946,Q Public Health
300016,BEILU PHARMA,2009/10/30,330509651,256357914,C Manufacturing
300017,WANGSU,2009/10/30,708166143,504080548,I IT
300018,ZYHD,2009/10/30,240415768,149711925,C Manufacturing
